Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"RL","Land Use","004","Afghanistan","5110","Area","6600","Country area","2013","2013","1000 ha","65286","A","Official figure"
"RL","Land Use","008","Albania","5110","Area","6600","Country area","2013","2013","1000 ha","2875","A","Official figure"
"RL","Land Use","012","Algeria","5110","Area","6600","Country area","2013","2013","1000 ha","238174","A","Official figure"
"RL","Land Use","016","American Samoa","5110","Area","6600","Country area","2013","2013","1000 ha","20","A","Official figure"
"RL","Land Use","020","Andorra","5110","Area","6600","Country area","2013","2013","1000 ha","47","A","Official figure"
"RL","Land Use","024","Angola","5110","Area","6600","Country area","2013","2013","1000 ha","124670","A","Official figure"
"RL","Land Use","660","Anguilla","5110","Area","6600","Country area","2013","2013","1000 ha","9","A","Official figure"
"RL","Land Use","028","Antigua and Barbuda","5110","Area","6600","Country area","2013","2013","1000 ha","44","A","Official figure"
"RL","Land Use","032","Argentina","5110","Area","6600","Country area","2013","2013","1000 ha","278040","A","Official figure"
"RL","Land Use","051","Armenia","5110","Area","6600","Country area","2013","2013","1000 ha","2974","A","Official figure"
"RL","Land Use","533","Aruba","5110","Area","6600","Country area","2013","2013","1000 ha","18","A","Official figure"
"RL","Land Use","036","Australia","5110","Area","6600","Country area","2013","2013","1000 ha","774122","A","Official figure"
"RL","Land Use","040","Austria","5110","Area","6600","Country area","2013","2013","1000 ha","8387.9","A","Official figure"
"RL","Land Use","031","Azerbaijan","5110","Area","6600","Country area","2013","2013","1000 ha","8660","A","Official figure"
"RL","Land Use","044","Bahamas","5110","Area","6600","Country area","2013","2013","1000 ha","1388","A","Official figure"
"RL","Land Use","048","Bahrain","5110","Area","6600","Country area","2013","2013","1000 ha","77","A","Official figure"
"RL","Land Use","050","Bangladesh","5110","Area","6600","Country area","2013","2013","1000 ha","14846","A","Official figure"
"RL","Land Use","052","Barbados","5110","Area","6600","Country area","2013","2013","1000 ha","43","A","Official figure"
"RL","Land Use","112","Belarus","5110","Area","6600","Country area","2013","2013","1000 ha","20760","A","Official figure"
"RL","Land Use","056","Belgium","5110","Area","6600","Country area","2013","2013","1000 ha","3053","A","Official figure"
"RL","Land Use","084","Belize","5110","Area","6600","Country area","2013","2013","1000 ha","2297","A","Official figure"
"RL","Land Use","204","Benin","5110","Area","6600","Country area","2013","2013","1000 ha","11476","A","Official figure"
"RL","Land Use","060","Bermuda","5110","Area","6600","Country area","2013","2013","1000 ha","429","A","Official figure"
"RL","Land Use","064","Bhutan","5110","Area","6600","Country area","2013","2013","1000 ha","3839.4","A","Official figure"
"RL","Land Use","068","Bolivia (Plurinational State of)","5110","Area","6600","Country area","2013","2013","1000 ha","109858","A","Official figure"
"RL","Land Use","535","Bonaire, Sint Eustatius and Saba","5110","Area","6600","Country area","2013","2013","1000 ha","32.2","A","Official figure"
"RL","Land Use","070","Bosnia and Herzegovina","5110","Area","6600","Country area","2013","2013","1000 ha","5121","A","Official figure"
"RL","Land Use","072","Botswana","5110","Area","6600","Country area","2013","2013","1000 ha","58173","A","Official figure"
"RL","Land Use","076","Brazil","5110","Area","6600","Country area","2013","2013","1000 ha","851577","A","Official figure"
"RL","Land Use","092","British Virgin Islands","5110","Area","6600","Country area","2013","2013","1000 ha","15","A","Official figure"
"RL","Land Use","096","Brunei Darussalam","5110","Area","6600","Country area","2013","2013","1000 ha","577","A","Official figure"
"RL","Land Use","100","Bulgaria","5110","Area","6600","Country area","2013","2013","1000 ha","11100","A","Official figure"
"RL","Land Use","854","Burkina Faso","5110","Area","6600","Country area","2013","2013","1000 ha","27422","I","Imputed value"
"RL","Land Use","108","Burundi","5110","Area","6600","Country area","2013","2013","1000 ha","2783","A","Official figure"
"RL","Land Use","132","Cabo Verde","5110","Area","6600","Country area","2013","2013","1000 ha","403","A","Official figure"
"RL","Land Use","116","Cambodia","5110","Area","6600","Country area","2013","2013","1000 ha","18104","A","Official figure"
"RL","Land Use","120","Cameroon","5110","Area","6600","Country area","2013","2013","1000 ha","47544","I","Imputed value"
"RL","Land Use","124","Canada","5110","Area","6600","Country area","2013","2013","1000 ha","987975","A","Official figure"
"RL","Land Use","136","Cayman Islands","5110","Area","6600","Country area","2013","2013","1000 ha","26.4","A","Official figure"
"RL","Land Use","140","Central African Republic","5110","Area","6600","Country area","2013","2013","1000 ha","62298","A","Official figure"
"RL","Land Use","148","Chad","5110","Area","6600","Country area","2013","2013","1000 ha","128400","A","Official figure"
"RL","Land Use","830","Channel Islands","5110","Area","6600","Country area","2013","2013","1000 ha","19.8","A","Official figure"
"RL","Land Use","152","Chile","5110","Area","6600","Country area","2013","2013","1000 ha","75609.6","A","Official figure"
"RL","Land Use","159","China","5110","Area","6600","Country area","2013","2013","1000 ha","960000.13","E","Estimated value"
"RL","Land Use","344","China, Hong Kong SAR","5110","Area","6600","Country area","2013","2013","1000 ha","110","A","Official figure"
"RL","Land Use","446","China, Macao SAR","5110","Area","6600","Country area","2013","2013","1000 ha","3.03","A","Official figure"
"RL","Land Use","156","China, mainland","5110","Area","6600","Country area","2013","2013","1000 ha","956291.1","A","Official figure"
"RL","Land Use","158","China, Taiwan Province of","5110","Area","6600","Country area","2013","2013","1000 ha","3596","I","Imputed value"
"RL","Land Use","170","Colombia","5110","Area","6600","Country area","2013","2013","1000 ha","114174.9","A","Official figure"
"RL","Land Use","174","Comoros","5110","Area","6600","Country area","2013","2013","1000 ha","186.1","A","Official figure"
"RL","Land Use","178","Congo","5110","Area","6600","Country area","2013","2013","1000 ha","34200","A","Official figure"
"RL","Land Use","184","Cook Islands","5110","Area","6600","Country area","2013","2013","1000 ha","24","A","Official figure"
"RL","Land Use","188","Costa Rica","5110","Area","6600","Country area","2013","2013","1000 ha","5110","A","Official figure"
"RL","Land Use","384","Côte d'Ivoire","5110","Area","6600","Country area","2013","2013","1000 ha","32246","A","Official figure"
"RL","Land Use","191","Croatia","5110","Area","6600","Country area","2013","2013","1000 ha","8807.3","A","Official figure"
"RL","Land Use","192","Cuba","5110","Area","6600","Country area","2013","2013","1000 ha","10988","A","Official figure"
"RL","Land Use","531","Curaçao","5110","Area","6600","Country area","2013","2013","1000 ha","44.4","A","Official figure"
"RL","Land Use","196","Cyprus","5110","Area","6600","Country area","2013","2013","1000 ha","925","A","Official figure"
"RL","Land Use","203","Czechia","5110","Area","6600","Country area","2013","2013","1000 ha","7887","A","Official figure"
"RL","Land Use","408","Democratic People's Republic of Korea","5110","Area","6600","Country area","2013","2013","1000 ha","12054","I","Imputed value"
"RL","Land Use","180","Democratic Republic of the Congo","5110","Area","6600","Country area","2013","2013","1000 ha","234486","I","Imputed value"
"RL","Land Use","208","Denmark","5110","Area","6600","Country area","2013","2013","1000 ha","4292","A","Official figure"
"RL","Land Use","262","Djibouti","5110","Area","6600","Country area","2013","2013","1000 ha","2320","A","Official figure"
"RL","Land Use","212","Dominica","5110","Area","6600","Country area","2013","2013","1000 ha","75","A","Official figure"
"RL","Land Use","214","Dominican Republic","5110","Area","6600","Country area","2013","2013","1000 ha","4867","A","Official figure"
"RL","Land Use","218","Ecuador","5110","Area","6600","Country area","2013","2013","1000 ha","25637","A","Official figure"
"RL","Land Use","818","Egypt","5110","Area","6600","Country area","2013","2013","1000 ha","100145","A","Official figure"
"RL","Land Use","222","El Salvador","5110","Area","6600","Country area","2013","2013","1000 ha","2104","A","Official figure"
"RL","Land Use","226","Equatorial Guinea","5110","Area","6600","Country area","2013","2013","1000 ha","2805","A","Official figure"
"RL","Land Use","232","Eritrea","5110","Area","6600","Country area","2013","2013","1000 ha","12163.5908","I","Imputed value"
"RL","Land Use","233","Estonia","5110","Area","6600","Country area","2013","2013","1000 ha","4534","A","Official figure"
"RL","Land Use","748","Eswatini","5110","Area","6600","Country area","2013","2013","1000 ha","1736","A","Official figure"
"RL","Land Use","231","Ethiopia","5110","Area","6600","Country area","2013","2013","1000 ha","113624.3504","I","Imputed value"
"RL","Land Use","238","Falkland Islands (Malvinas)","5110","Area","6600","Country area","2013","2013","1000 ha","1217","A","Official figure"
"RL","Land Use","234","Faroe Islands","5110","Area","6600","Country area","2013","2013","1000 ha","139.6","A","Official figure"
"RL","Land Use","242","Fiji","5110","Area","6600","Country area","2013","2013","1000 ha","1827","T","Unofficial figure"
"RL","Land Use","246","Finland","5110","Area","6600","Country area","2013","2013","1000 ha","33842","A","Official figure"
"RL","Land Use","250","France","5110","Area","6600","Country area","2013","2013","1000 ha","54908.7","A","Official figure"
"RL","Land Use","254","French Guyana","5110","Area","6600","Country area","2013","2013","1000 ha","8358","I","Imputed value"
"RL","Land Use","258","French Polynesia","5110","Area","6600","Country area","2013","2013","1000 ha","347.1","I","Imputed value"
"RL","Land Use","266","Gabon","5110","Area","6600","Country area","2013","2013","1000 ha","26767","A","Official figure"
"RL","Land Use","270","Gambia","5110","Area","6600","Country area","2013","2013","1000 ha","1130","A","Official figure"
"RL","Land Use","268","Georgia","5110","Area","6600","Country area","2013","2013","1000 ha","6970","A","Official figure"
"RL","Land Use","276","Germany","5110","Area","6600","Country area","2013","2013","1000 ha","35734","A","Official figure"
"RL","Land Use","288","Ghana","5110","Area","6600","Country area","2013","2013","1000 ha","23854","A","Official figure"
"RL","Land Use","292","Gibraltar","5110","Area","6600","Country area","2013","2013","1000 ha","1","A","Official figure"
"RL","Land Use","300","Greece","5110","Area","6600","Country area","2013","2013","1000 ha","13196","A","Official figure"
"RL","Land Use","304","Greenland","5110","Area","6600","Country area","2013","2013","1000 ha","41045","A","Official figure"
"RL","Land Use","308","Grenada","5110","Area","6600","Country area","2013","2013","1000 ha","34","A","Official figure"
"RL","Land Use","312","Guadeloupe","5110","Area","6600","Country area","2013","2013","1000 ha","163","A","Official figure"
"RL","Land Use","316","Guam","5110","Area","6600","Country area","2013","2013","1000 ha","54","A","Official figure"
"RL","Land Use","320","Guatemala","5110","Area","6600","Country area","2013","2013","1000 ha","10889","A","Official figure"
"RL","Land Use","324","Guinea","5110","Area","6600","Country area","2013","2013","1000 ha","24586","A","Official figure"
"RL","Land Use","624","Guinea-Bissau","5110","Area","6600","Country area","2013","2013","1000 ha","3613","A","Official figure"
"RL","Land Use","328","Guyana","5110","Area","6600","Country area","2013","2013","1000 ha","21497","A","Official figure"
