Code Domaine,Domaine,Code zone (M49),Zone,Code Élément,Élément,Code Produit,Produit,Code année,Année,Unité,Valeur,Symbole,Description du Symbole
"RL","Utilisation des terres","004","Afghanistan","5110","Superficie","6600","Superficie du pays","2013","2013","1000 ha","65286","A","Chiffre officiel"
"RL","Utilisation des terres","710","Afrique du Sud","5110","Superficie","6600","Superficie du pays","2013","2013","1000 ha","121909","A","Chiffre officiel"
"RL","Utilisation des terres","008","Albanie","5110","Superficie","6600","Superficie du pays","2013","2013","1000 ha","2875","A","Chiffre officiel"
"RL","Utilisation des terres","012","Algérie","5110","Superficie","6600","Superficie du pays","2013","2013","1000 ha","238174","A","Chiffre officiel"
"RL","Utilisation des terres","276","Allemagne","5110","Superficie","6600","Superficie du pays","2013","2013","1000 ha","35734","A","Chiffre officiel"
"RL","Utilisation des terres","020","Andorre","5110","Superficie","6600","Superficie du pays","2013","2013","1000 ha","47","A","Chiffre officiel"
"RL","Utilisation des terres","024","Angola","5110","Superficie","6600","Superficie du pays","2013","2013","1000 ha","124670","A","Chiffre officiel"
"RL","Utilisation des terres","660","Anguilla","5110","Superficie","6600","Superficie du pays","2013","2013","1000 ha","9","A","Chiffre officiel"
"RL","Utilisation des terres","028","Antigua-et-Barbuda","5110","Superficie","6600","Superficie du pays","2013","2013","1000 ha","44","A","Chiffre officiel"
"RL","Utilisation des terres","682","Arabie saoudite","5110","Superficie","6600","Superficie du pays","2013","2013","1000 ha","214969","A","Chiffre officiel"
"RL","Utilisation des terres","032","Argentine","5110","Superficie","6600","Superficie du pays","2013","2013","1000 ha","278040","A","Chiffre officiel"
"RL","Utilisation des terres","051","Arménie","5110","Superficie","6600","Superficie du pays","2013","2013","1000 ha","2974","A","Chiffre officiel"
"RL","Utilisation des terres","533","Aruba","5110","Superficie","6600","Superficie du pays","2013","2013","1000 ha","18","A","Chiffre officiel"
"RL","Utilisation des terres","036","Australie","5110","Superficie","6600","Superficie du pays","2013","2013","1000 ha","774122","A","Chiffre officiel"
"RL","Utilisation des terres","040","Autriche","5110","Superficie","6600","Superficie du pays","2013","2013","1000 ha","8387.9","A","Chiffre officiel"
